id,longitude,latitude,address
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,73.766392,18.56857,"Sadanand Hotel Square_39, Baner Exit Ramp Hinjewadi Phase I Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,73.876484,18.525007,"Sadhu_Wasvani_Square_24, Sadhu Vaswani Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,73.874251,18.528387,"Pune Railway Station_28, His Highness The Prince Aga Khan Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,73.903601,18.539217,"ABC_Farm_House_Junction_4, North Main Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,73.836817,18.572774,"BopadiSquare_32, Old PuneâMumbai Highway Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,73.84992,18.530344,"Shimla Office Square (Shivaji Nagar Chowk)_33, Bankimchandra Chatopadhyay Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,73.75385,18.553421,"Susgaon_46, Sus Road Pashan Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,73.828573,18.541967,"Pune_University_22, Pashan Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,73.884363,18.541278,"Dr Baba Saheb Ambedkar Sethu Junction_60,  Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,73.888922,18.485643,"Lullanagar_Square_14, Bibwewadi Kondhawa Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,73.85259,18.513701,"Chitale Bandhu Corner_41, R. B. Kumthekar Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,73.868533,18.519513,"Power_House_Square_43, Rajgopalachari Chowk Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,73.815409,18.501802,"Karve Statue Square_5, Karve Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,73.850429,18.531418,"Shivaji_Nagar_Railway_Station_34,  Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,73.795248,18.508049,"Kothrud PMPML BusDepot_48, Paud Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,73.858556,18.447118,"PMPML Katraj_Depot_New_26, Katraj Ambegaon Khurd Road Sahakar Nagar Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,73.918006,18.5652,"Shree Krishna Hotel Square _12, Viman Nagar Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.857307,18.489599,"Market Yard Junction_02, Satara Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,73.932849,18.532871,"Mundhwa Road Junction_51, Mundhwa Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,73.853826,18.51638,"Appa_Balwant_Square_30, Narsimha Chintaman Kelkar Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,73.854234,18.501188,"Bajaj Statue Square_50, Balaji Vishwanath Path Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,73.869399,18.501306,"Seven Loves Square_16, Jagannath Shankarsheth Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,73.938842,18.500945,"Hadapsar_Gadital_01, Saswad Road Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,73.873166,18.552553,"Ambedkar society circle_29, Sant Jnaneshwar Marg Pune Maharashtra"
datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,73.842727,18.516163,"PMPML_Bus_Depot_Deccan_15, Jagannath Kaniram Kasat Path Pune Maharashtra"
